start,0,0
4,2480,253
4,184,0
*,617,294
4,565,288
0,618,200
=,900,202
6,1017,187
3,250,77
+,750,121
1,733,296
4,1466,85
=,801,275
4,1216,269
7,351,88
*,2450,313
8,583,207
6,599,122
=,1066,191
9,1234,292
8,385,87
-,915,367
8,950,371
2,415,191
=,436,123
6,1134,187
1,500,209
/,783,334
9,433,90
4,448,205
=,619,287
3,1299,111
8,651,212
+,733,276
3,400,86
2,417,110
=,433,127
4,1500,273
0,550,210
/,765,437
5,719,224
4,449,103
=,867,277
9,1014,287
9,152,0
/,1134,93
6,1017,121
9,500,89
=,750,287
